img x1 y1 x2 y2
395 0 62 203 188
392 83 21 171 88
389 0 0 224 224
386 8 31 224 163
382 0 0 224 224
381 166 24 224 64
380 82 2 160 52
379 31 95 202 165
378 35 40 178 196
376 62 0 224 182
374 65 91 182 185
374 68 0 183 33
371 68 115 178 184
368 107 0 224 57
367 31 75 212 214
367 0 0 48 57
366 6 167 106 224
365 147 95 194 151
362 164 106 224 184
360 29 55 178 165
359 38 113 114 212
359 21 43 70 98
357 153 114 212 188
356 49 16 102 61
355 141 13 224 79
352 59 37 203 200
351 0 63 165 199
349 121 0 203 81
348 11 9 223 217
347 17 17 135 224
344 18 12 211 224
339 8 91 114 197
334 31 19 206 192
333 99 0 147 25
333 33 1 95 52
327 22 70 218 157
323 16 1 107 81
320 20 134 109 224
320 0 69 60 131
317 12 22 224 210
314 77 14 125 51
311 58 40 96 90
311 137 124 167 165
301 0 148 96 222
301 117 31 202 101
605 39 8 201 209
614 73 52 224 224
617 0 0 208 194
618 11 87 145 162
619 43 43 223 203
621 128 15 212 100
623 123 114 210 165
629 87 26 121 72
629 48 26 86 78
629 158 132 198 182
637 75 2 149 111
638 0 0 173 208
639 0 1 33 82
641 76 23 119 78
644 36 43 221 199
650 43 28 180 150
651 33 74 204 160
655 55 51 224 173
656 138 28 217 109
659 32 72 152 183
665 139 90 187 144
669 58 29 177 176
673 25 77 199 157
674 58 67 207 195
679 15 100 69 158
681 39 77 180 149
685 18 45 212 176
696 45 72 86 124
698 46 26 167 202
701 51 34 155 191
702 17 121 73 210
715 134 18 190 75
723 0 8 224 204
725 77 76 144 129
727 53 117 198 155
730 59 88 204 157
734 35 20 203 206
735 14 53 209 167
736 52 34 158 191
739 120 0 222 41
741 110 90 191 163
747 1 0 112 34
750 14 2 184 224
752 43 71 91 124
764 73 31 114 85
765 164 23 224 89
766 50 30 180 194
773 5 104 103 194
785 33 51 193 183
786 7 38 224 206
787 30 34 224 164
788 22 61 97 128
791 30 65 162 182
793 46 7 123 66
795 29 15 205 181
818 27 63 219 207
818 0 0 95 46
821 75 107 224 167
854 60 49 105 91
856 50 85 202 215
886 110 4 167 53
891 78 0 147 74
893 81 88 156 154
895 85 11 219 224
898 30 99 77 144
903 41 74 224 210
907 22 107 224 172
919 66 20 196 190
922 138 20 224 110
927 37 72 203 150
941 18 59 70 107
944 29 47 185 178
945 7 99 77 157
947 132 21 190 75
948 22 50 186 169
950 62 35 190 202
954 172 106 223 194
957 5 17 195 221
965 22 31 207 172
978 183 7 224 85
980 14 95 115 196
984 19 33 129 97
984 58 75 220 167
985 114 16 174 94
988 0 0 58 74
995 26 96 184 169
997 6 74 94 193
1299 32 45 113 122
1297 94 73 196 138
1295 9 87 209 181
1294 143 102 224 182
1292 46 73 216 176
1291 43 50 182 181
1288 96 140 163 224
1287 60 26 108 82
1285 10 63 224 206
1277 20 3 199 221
1276 17 48 210 179
1272 3 57 215 191
1270 59 4 107 54
1265 54 130 126 224
1263 85 19 147 91
1261 165 0 224 40
1260 0 1 108 110
1260 126 118 223 222
1260 120 2 222 112
1260 1 113 107 222
1257 90 28 199 146
1255 144 44 195 95
1253 49 61 202 163
1252 35 15 199 208
1250 140 4 191 59
1247 0 0 224 224
1243 0 38 194 224
1238 177 133 224 200
1235 50 33 195 141
1232 75 34 114 87
1225 136 53 185 110
1224 40 38 195 193
1223 83 5 158 47
1220 3 77 169 170
1215 0 0 224 224
1210 52 26 176 135
1204 0 0 111 95
1203 0 122 117 224
1203 88 11 190 156
1200 26 83 212 220
1198 141 50 216 164
1196 46 157 122 213
1194 0 122 68 210
1193 72 31 116 90
1192 26 55 77 101
1191 179 0 224 57
1190 31 89 141 206
1185 105 147 170 217
1183 115 29 198 118
1182 113 59 166 105
1178 44 23 193 166
1175 133 106 208 206
1172 0 0 224 224
1169 57 137 107 210
1168 143 17 197 61
1165 32 118 109 219
1158 13 26 57 81
1156 34 80 92 108
1152 0 0 39 87
1151 148 110 224 210
1148 14 64 105 150
1145 6 73 224 198
1144 19 29 210 209
1140 0 29 190 191
1138 121 135 183 214
1133 0 2 87 50
1131 146 131 206 209
1128 29 62 159 186
1128 181 0 224 28
1127 10 85 66 135
1126 72 36 224 208
1120 69 18 141 75
1117 169 18 224 68
1117 179 139 224 183
1106 51 16 186 222
1098 110 10 178 80
1095 55 32 169 130
1091 48 14 126 76
1089 78 109 137 185
1087 12 57 71 113
1087 135 31 176 73
1085 128 45 215 132
1083 132 57 197 108
1080 20 16 101 85
1079 0 21 189 224
1078 17 67 102 148
1070 56 6 109 56
1069 32 71 202 204
1068 23 26 201 194
1065 34 83 95 109
1064 13 58 177 176
1057 0 119 43 184
1055 91 64 211 195
1052 29 42 79 78
1050 6 37 185 175
1047 58 48 107 91
1045 149 101 193 151
1045 192 70 224 141
1042 168 120 218 200
1041 30 117 108 217
1039 91 0 155 68
1037 72 23 124 80
1032 90 9 156 50
1032 0 0 57 101
1032 107 67 206 175
1028 34 57 176 138
1027 98 17 134 61
1023 0 0 224 224
1021 9 89 206 166
1020 6 30 223 192
1019 0 76 202 180
1017 153 74 218 160
1016 138 118 200 204
1014 45 30 179 176
1009 13 65 87 121
1006 144 15 209 72
1005 0 42 220 145
1310 32 42 112 148
1315 61 78 212 172
1317 38 50 179 167
1322 137 37 185 86
1327 0 57 224 193
1329 119 30 198 119
1335 30 61 204 194
1340 160 131 214 201
1341 24 67 95 132
1345 49 42 200 188
1346 0 14 89 66
1347 0 66 106 129
1350 3 59 61 140
1355 16 0 206 224
1356 54 53 190 145
1358 58 139 106 207
1364 98 15 163 77
1371 0 0 45 61
1372 5 97 165 193
1373 110 9 209 61
1375 83 20 219 193
1383 64 120 118 179
1384 8 59 198 190
1389 87 77 207 169
1389 59 16 125 48
1392 34 57 198 165
1394 32 30 186 221
1398 28 100 174 197
1403 88 136 174 224
1410 41 25 196 204
1412 45 145 116 216
1417 35 25 112 94
1422 52 89 198 215
1427 28 36 195 191
1436 59 63 105 96
1440 145 21 224 83
1443 0 25 79 158
1444 31 36 197 199
1445 6 19 197 219
1452 98 12 163 75
1457 47 44 170 216
1458 30 72 203 174
1465 84 4 171 52
1469 55 93 204 156
1484 27 41 190 195
1491 103 34 174 121
1505 16 31 207 206
1508 114 2 224 219
1515 17 22 204 218
1523 106 148 168 216
1525 3 8 112 212
1527 0 57 76 132
1528 30 99 78 143
1528 164 53 208 103
1534 102 84 220 182
1537 43 80 183 224
1538 29 55 144 133
1539 12 0 214 224
1544 68 47 224 178
1547 55 36 138 152
1553 114 123 181 200
1558 181 6 224 85
1559 17 76 82 131
1567 46 1 158 73
1568 147 66 203 124
1575 35 27 126 137
1305 73 51 135 95
1307 23 106 223 179
1308 26 49 158 99
