img x1 y1 x2 y2
492 143 102 193 181
492 39 162 92 223
491 58 6 209 67
490 163 56 215 114
484 12 44 79 118
484 85 1 149 59
482 106 82 212 156
482 76 81 115 106
482 186 0 224 91
481 134 38 224 133
480 38 49 186 115
479 0 0 224 224
477 95 126 143 194
475 29 6 178 184
474 16 18 201 213
473 15 51 179 190
472 34 56 192 193
471 54 42 116 112
467 110 1 170 48
467 0 54 73 116
467 146 43 220 119
466 74 8 148 93
462 0 20 224 224
461 140 97 216 193
459 9 44 69 108
457 30 26 195 142
455 96 37 134 77
452 34 104 114 202
450 14 32 205 199
449 28 31 207 158
448 35 43 178 213
446 98 125 143 195
444 39 45 179 175
443 158 123 224 217
443 159 14 224 103
441 0 0 224 224
439 63 49 194 180
437 49 17 110 90
436 133 106 213 206
433 40 83 191 204
431 124 44 169 90
429 6 5 200 217
427 90 143 151 190
427 119 48 177 84
427 51 33 111 81
424 74 75 224 180
422 59 83 185 171
422 37 0 140 52
421 61 56 136 170
420 96 111 169 208
419 78 0 131 29
417 0 0 224 224
416 34 6 104 59
416 14 55 106 151
413 22 11 182 215
412 54 47 164 167
408 0 0 218 200
402 0 0 224 224
399 84 9 140 62
399 131 37 196 103
398 54 30 98 67
398 133 35 177 73
396 66 19 168 162
392 13 8 90 71
392 166 50 224 106
388 13 20 117 86
387 86 0 142 81
385 20 0 224 218
383 50 0 224 224
381 121 56 182 118
381 91 95 174 178
381 31 121 111 183
380 146 42 211 92
375 31 17 224 198
372 24 19 206 223
370 148 0 224 90
369 50 39 184 154
368 15 51 212 185
366 2 81 77 156
365 169 4 219 54
365 190 73 224 143
365 20 34 77 109
365 71 81 139 167
365 134 168 196 224
365 195 158 221 187
364 32 12 193 224
363 160 57 223 101
361 30 32 168 156
359 89 11 164 108
358 36 62 182 163
356 140 28 198 85
356 66 75 167 183
355 73 90 189 224
354 1 18 224 216
353 126 124 188 198
353 80 38 134 107
349 3 11 112 141
346 19 77 108 185
346 42 16 92 69
345 20 13 100 81
345 13 119 121 212
341 35 107 137 219
340 47 62 173 140
337 191 107 224 224
336 142 87 224 180
336 48 45 164 93
335 57 73 224 163
332 32 56 224 224
330 0 0 224 224
329 78 47 197 224
325 0 72 88 150
325 155 0 210 28
324 20 19 198 156
323 96 52 201 137
323 74 168 194 224
322 0 31 71 140
320 132 12 173 60
319 108 46 224 168
316 0 0 66 23
315 0 0 156 224
313 79 43 136 189
312 68 48 163 105
311 87 8 123 60
311 124 18 160 69
311 142 64 179 118
310 32 52 165 170
309 64 57 170 193
308 0 0 224 224
302 0 19 146 199
601 104 48 214 153
608 19 89 198 194
610 3 1 220 189
616 52 45 179 135
622 103 19 182 112
623 156 70 207 104
626 17 60 224 167
627 71 45 163 185
628 13 78 222 187
629 95 60 142 113
629 173 35 210 81
629 134 36 166 83
629 143 81 188 140
629 42 71 93 128
630 35 105 184 190
631 44 40 193 187
633 44 3 190 180
637 1 2 74 112
642 24 52 188 163
645 0 0 222 202
647 57 49 157 183
652 12 82 220 164
656 125 120 206 207
656 49 134 120 218
660 174 64 223 117
662 91 20 149 80
664 12 53 178 189
672 28 21 169 214
684 37 43 185 202
686 21 20 210 211
688 174 50 224 98
692 118 19 199 108
693 35 24 186 149
694 22 9 184 201
696 48 134 112 207
699 114 38 210 126
699 46 7 123 65
703 50 0 219 40
704 60 43 158 175
705 71 61 224 148
710 30 20 209 224
712 0 97 169 194
714 16 122 120 200
714 19 19 100 82
715 7 59 59 110
715 35 17 88 65
715 4 115 59 158
717 147 63 209 116
717 90 7 160 76
718 3 26 224 206
719 113 18 224 101
719 114 133 224 216
722 25 27 130 107
722 83 114 171 196
731 22 11 224 183
732 79 39 224 156
733 60 1 224 180
739 12 57 193 206
740 60 18 128 112
741 33 139 149 190
743 109 44 224 199
747 43 91 222 183
751 1 46 201 184
752 50 134 114 205
755 41 84 177 179
757 27 15 196 208
764 60 85 103 137
780 86 6 157 115
788 133 44 198 102
793 122 25 210 124
796 27 108 167 209
797 71 9 218 224
801 23 95 199 212
802 56 110 212 198
805 43 34 194 178
807 15 1 204 209
811 30 46 149 193
812 52 36 172 177
817 132 57 191 107
817 154 107 224 155
820 9 32 219 208
822 41 66 185 183
827 4 50 224 188
828 55 80 156 167
829 22 35 201 202
830 27 57 138 121
833 77 6 156 72
833 117 78 195 144
833 90 154 163 216
835 54 103 209 175
841 89 17 145 98
844 0 19 224 212
847 117 47 179 85
847 163 89 217 120
847 54 36 114 77
849 12 89 125 129
851 77 31 219 134
854 35 107 93 178
857 109 25 224 96
859 91 47 170 137
861 41 61 203 132
862 46 42 184 209
863 54 36 154 164
867 66 58 137 176
868 0 0 224 23
869 41 42 187 174
871 14 107 166 214
872 0 39 205 179
874 163 28 205 111
877 53 61 224 195
881 109 45 207 116
883 0 0 202 82
886 1 99 74 181
886 3 45 63 97
887 66 109 198 206
888 24 23 194 221
890 45 32 154 130
892 14 22 224 148
898 164 57 207 102
899 84 106 170 187
914 24 31 200 188
915 19 25 124 172
918 3 118 54 153
918 12 85 64 114
922 52 138 125 221
922 124 118 207 208
923 11 89 128 129
924 15 124 121 210
924 19 13 100 83
925 0 0 194 174
926 23 78 167 224
931 21 88 205 220
935 67 57 224 200
936 147 63 199 121
936 109 60 148 102
943 25 12 186 202
945 130 112 198 182
945 57 133 130 201
947 8 113 58 159
947 7 61 61 109
947 35 18 88 65
952 50 40 224 172
953 0 0 202 224
954 67 0 145 73
954 145 20 206 99
958 0 115 179 220
967 33 14 82 57
968 20 82 71 140
970 21 74 201 196
971 0 18 188 120
973 112 142 224 224
975 49 27 187 120
978 134 80 224 172
978 83 152 204 204
979 49 94 181 172
981 100 100 207 157
985 52 38 112 114
987 3 4 224 220
988 58 0 154 75
988 153 0 224 69
990 14 91 218 159
992 27 34 178 165
997 18 0 95 55
1300 24 11 201 213
1297 15 14 120 81
1296 38 107 203 212
1290 94 43 208 191
1289 56 36 163 104
1288 168 13 217 76
1287 141 24 178 64
1287 111 82 149 172
1284 4 3 193 175
1282 0 0 224 224
1281 0 51 99 156
1278 45 40 182 179
1273 0 0 224 224
1271 141 35 215 119
1271 75 23 149 82
1271 5 44 79 112
1270 0 81 53 150
1270 109 8 159 55
1268 136 61 219 167
1266 16 23 203 203
1265 28 91 77 163
1264 24 109 196 171
1263 138 40 190 133
1263 141 125 172 171
1262 75 15 224 207
1261 101 106 223 204
1261 140 35 224 121
1258 5 90 87 211
1258 109 82 182 198
1255 48 103 115 191
1254 100 27 155 88
1251 51 23 172 197
1249 10 4 199 199
1248 0 62 188 202
1244 200 58 224 124
1241 110 15 224 190
1239 35 30 193 182
1238 176 52 219 102
1237 46 68 160 144
1234 0 82 198 224
1232 58 83 100 138
1231 33 55 118 184
1230 0 56 154 215
1228 0 72 224 187
1226 70 27 177 162
1225 129 112 184 175
1225 103 13 151 74
1223 149 40 217 96
1222 15 19 139 112
1219 132 60 197 112
1219 151 106 222 157
1214 28 58 220 182
1213 104 49 223 192
1212 155 26 224 97
1212 63 0 145 41
1211 0 60 174 224
1208 0 0 224 224
1207 21 16 168 165
1204 0 112 116 224
1201 38 37 188 180
1200 72 5 165 65
1199 117 39 219 163
1198 52 116 125 224
1198 116 135 187 224
1197 0 33 178 210
1196 144 29 200 82
1193 60 84 102 139
1192 98 0 161 66
1191 96 50 207 120
1190 96 13 185 101
1188 20 55 186 188
1186 39 61 166 167
1185 21 51 78 105
1185 60 20 103 64
1185 23 109 76 160
1184 4 0 119 66
1183 74 9 150 90
1182 8 91 70 141
1182 50 58 108 104
1182 31 10 96 60
1182 147 94 206 144
1179 0 0 224 209
1177 118 100 187 200
1174 30 6 182 179
1170 0 0 224 224
1169 40 28 96 137
1167 26 9 196 197
1166 59 43 154 184
1164 37 48 81 92
1163 43 87 150 164
1163 84 21 141 61
1160 0 43 224 195
1159 46 67 224 207
1157 17 63 88 149
1156 92 72 196 116
1154 32 103 215 190
1150 19 13 207 219
1148 72 0 166 85
1143 42 32 171 179
1142 28 28 195 201
1141 26 4 199 202
1137 9 34 223 186
1136 24 28 224 224
1135 41 57 141 119
1131 26 40 62 87
1130 6 8 212 219
1127 140 64 194 101
1124 58 43 183 137
1123 105 55 220 189
1122 100 146 138 193
1122 133 111 170 163
1122 134 59 174 110
1122 109 20 148 73
1122 71 17 109 69
1120 16 136 103 200
1120 90 135 173 209
1120 133 90 212 161
1120 128 27 206 91
1119 22 0 201 224
1115 100 0 220 103
1111 90 18 151 82
1109 5 67 84 149
1109 59 43 121 92
1109 128 67 185 111
1107 15 75 224 166
1104 19 74 56 115
1099 52 46 163 167
1098 149 75 214 143
1098 40 18 101 78
1097 68 46 174 152
1094 0 0 224 224
1093 0 66 182 197
1092 0 0 224 189
1090 32 19 193 208
1089 53 166 88 202
1089 2 72 77 168
1088 41 6 179 211
1086 34 46 194 156
1085 14 41 77 123
1085 81 2 147 58
1083 156 106 222 158
1082 162 142 206 211
1081 0 16 65 99
1080 12 118 121 204
1078 74 0 161 85
1076 30 56 218 183
1075 118 52 180 139
1074 0 20 189 224
1066 113 65 151 104
1065 94 76 200 117
1062 29 48 94 110
1062 20 112 92 175
1056 24 60 201 181
1053 150 81 213 154
1052 73 19 150 69
1052 13 87 64 123
1052 22 125 79 168
1052 68 71 123 106
1051 116 25 197 111
1047 33 104 98 180
1045 131 165 194 223
1045 170 3 215 53
1045 21 34 81 107
1040 90 121 146 208
1039 141 33 213 128
1039 9 120 75 224
1035 22 0 209 218
1033 0 15 196 214
1032 0 169 56 224
1031 65 21 214 203
1029 3 7 213 219
1027 146 106 200 189
1026 78 71 133 184
1025 21 0 224 224
1024 1 53 110 158
1022 52 37 145 153
1022 140 102 224 220
1018 14 55 193 201
1017 57 17 101 77
1017 17 49 61 107
1017 9 108 59 168
1015 92 22 222 190
1013 112 20 199 100
1007 110 13 154 54
1007 68 16 110 53
1007 34 37 75 74
1007 10 66 56 104
1007 9 110 59 151
1007 38 138 86 189
1002 0 33 224 218
1001 0 0 224 224
1311 16 25 133 166
1312 0 0 224 224
1314 26 68 200 178
1319 16 29 218 172
1320 1 0 224 224
1321 45 64 158 153
1322 11 145 61 207
1323 16 89 220 211
1325 42 19 201 224
1329 84 7 148 93
1331 31 87 75 129
1331 77 35 135 73
1332 127 100 224 166
1335 0 0 86 75
1336 33 58 201 168
1338 150 54 203 201
1340 63 90 120 161
1341 64 38 122 79
1341 90 131 157 193
1342 45 120 179 183
1343 42 20 187 191
1344 25 15 139 96
1346 45 67 224 180
1348 151 44 224 120
1348 83 0 156 69
1350 12 150 73 224
1350 29 0 84 62
1351 65 4 224 164
1353 58 42 183 145
1354 4 52 210 148
1356 195 108 224 182
1361 44 55 179 176
1370 3 53 210 147
1371 155 34 224 94
1373 0 19 100 79
1376 107 9 198 56
1377 24 0 211 224
1379 60 96 223 173
1379 0 0 69 38
1380 43 0 192 180
1381 0 0 195 183
1383 113 74 159 127
1383 157 99 203 163
1386 151 63 201 117
1388 67 38 155 162
1390 32 74 209 172
1391 34 15 196 191
1395 1 0 147 224
1399 75 36 139 94
1399 11 52 76 121
1399 136 51 198 120
1401 10 18 180 194
1403 143 79 224 164
1403 70 38 141 113
1406 31 38 197 187
1407 0 53 195 130
1412 111 87 203 181
1416 24 4 201 224
1417 12 99 109 186
1418 32 99 205 169
1418 0 23 115 76
1420 0 36 224 218
1421 101 20 182 112
1423 1 8 222 224
1426 89 43 128 123
1428 0 0 224 224
1431 41 6 221 170
1436 34 106 92 162
1440 19 108 186 194
1442 128 8 224 39
1443 111 27 190 199
1446 40 17 216 223
1447 26 24 179 196
1448 22 29 224 186
1451 32 0 224 139
1452 18 72 71 132
1455 0 1 224 157
1459 22 57 78 132
1459 58 0 139 77
1459 142 20 210 80
1459 42 110 125 188
1460 107 98 209 176
1463 25 59 218 193
1464 73 23 224 187
1465 119 28 219 109
1466 37 91 199 197
1468 38 16 217 224
1469 152 4 224 44
1470 13 0 169 174
1471 112 19 224 185
1472 39 48 197 219
1473 44 99 209 166
1476 109 13 157 53
1476 10 66 54 108
1476 33 36 76 71
1476 69 16 110 49
1476 9 109 57 150
1477 166 32 223 96
1479 30 14 80 51
1479 118 20 168 59
1481 22 51 224 199
1482 43 95 174 181
1485 43 3 224 203
1488 109 41 161 114
1492 1 0 224 224
1493 20 61 181 185
1495 57 2 224 154
1499 38 1 189 185
1510 49 28 166 198
1511 60 44 162 163
1512 149 20 224 153
1512 41 87 109 170
1516 7 55 93 188
1516 60 7 146 82
1519 24 123 151 193
1520 43 75 155 145
1523 22 108 77 164
1523 62 21 102 62
1527 76 12 162 81
1528 41 47 86 95
1535 5 125 103 201
1541 1 60 224 204
1542 42 55 176 148
1543 51 58 217 144
1545 60 47 203 206
1547 148 116 224 214
1552 138 66 211 135
1552 70 110 152 188
1553 142 63 210 128
1554 53 118 128 195
1554 10 53 82 126
1555 174 116 223 186
1555 26 57 89 128
1555 79 1 141 63
1556 114 23 195 102
1556 19 103 118 192
1557 124 27 212 138
1558 135 74 224 172
1558 76 150 200 203
1559 70 42 139 113
1560 76 23 147 81
1560 9 44 77 110
1561 19 110 90 174
1561 28 47 95 110
1562 66 107 168 222
1563 149 54 224 144
1564 101 6 179 100
1565 83 110 212 216
1565 0 61 79 158
1566 62 6 224 153
1567 11 72 132 174
1568 79 30 141 99
1569 73 13 135 73
1569 11 37 76 118
1570 52 12 179 126
1571 156 77 224 180
1571 48 8 104 62
1571 109 10 169 62
1572 71 1 128 80
1572 43 63 93 155
1573 41 6 193 98
1574 130 60 224 169
1574 0 46 73 156
1575 116 1 183 95
1303 152 115 200 170
1303 148 66 187 109
1304 67 91 215 189
1305 138 53 193 96
1308 26 101 122 148
